datetime,close,high,low,open,volume,volume_buy,volume_sell
2021-06-13 07:00:00,38993.65,39374.18,34739.06,35535.95,647035.314,337261.471,309773.843
2021-06-14 07:00:00,40489.1,41000.0,38720.0,38993.66,704979.881,355119.315,349860.56600000005
2021-06-15 07:00:00,40132.86,41413.0,39500.0,40489.1,632066.994,314409.675,317657.31899999996
2021-06-16 07:00:00,38344.97,40495.0,38105.0,40132.86,673235.496,331713.202,341522.29400000005
2021-06-17 07:00:00,38060.71,39565.0,37334.76,38344.97,603849.861,295854.255,307995.606
2021-06-18 07:00:00,35811.41,38198.0,35100.0,38060.71,790379.249,384890.019,405489.23
2021-06-19 07:00:00,35483.0,36471.8,34704.08,35811.41,642185.382,325285.229,316900.153
2021-06-20 07:00:00,35588.64,36155.0,33312.0,35483.01,829896.441,414731.625,415164.816
2021-06-21 07:00:00,31606.0,35746.28,31250.51,35588.63,1397330.662,695656.128,701674.534
2021-06-22 07:00:00,32496.0,33274.0,28780.01,31606.0,1531824.85,777675.178,754149.6720000001
2021-06-23 07:00:00,33649.0,34867.77,31711.5,32496.0,960700.369,485348.455,475351.91399999993
2021-06-24 07:00:00,34644.64,35406.74,32300.0,33650.0,774899.165,394437.794,380461.37100000004
2021-06-25 07:00:00,31568.07,35500.0,31250.0,34644.65,1093051.375,541149.203,551902.172
2021-06-26 07:00:00,32255.56,32720.52,30120.0,31569.18,1091384.749,557734.296,533650.4530000001
2021-06-27 07:00:00,34687.71,34762.0,31960.0,32250.15,897147.453,454619.868,442527.58499999996
2021-06-28 07:00:00,34487.22,35279.38,33855.0,34687.71,706158.545,355069.274,351089.27100000007
2021-06-29 07:00:00,35911.26,36623.0,34206.0,34486.58,806140.329,409013.437,397126.89200000005
2021-06-30 07:00:00,35031.39,36089.96,34042.74,35910.64,719742.983,356802.679,362940.304
2021-07-01 07:00:00,33489.96,35044.98,32672.04,35031.39,758966.493,375106.718,383859.775
2021-07-02 07:00:00,33760.94,33960.0,32684.0,33489.96,664923.202,340677.815,324245.38700000005
2021-07-03 07:00:00,34652.94,34948.16,33296.98,33760.94,510614.258,260819.897,249794.36099999998
2021-07-04 07:00:00,35280.16,35955.55,34340.75,34653.32,451001.556,226888.582,224112.974
2021-07-05 07:00:00,33672.72,35281.55,33032.0,35280.17,736706.409,360470.052,376236.35699999996
2021-07-06 07:00:00,34206.01,35120.0,33500.0,33672.72,644229.007,322753.561,321475.446
2021-07-07 07:00:00,33845.64,35089.56,33756.48,34206.0,456218.909,227742.653,228476.256
2021-07-08 07:00:00,32852.04,33910.0,32066.0,33845.63,650317.664,323160.995,327156.669
2021-07-09 07:00:00,33805.01,34100.0,32250.0,32855.0,485662.879,250884.926,234777.953
2021-07-10 07:00:00,33497.98,34248.58,33010.0,33805.01,410271.979,204915.729,205356.25
2021-07-11 07:00:00,34253.81,34629.62,33306.03,33497.98,343905.35,176940.803,166964.54699999996
2021-07-12 07:00:00,33070.87,34662.73,32650.0,34253.88,502747.758,245962.609,256785.14899999998
2021-07-13 07:00:00,32709.09,33336.0,32186.99,33070.86,466567.713,234107.388,232460.32499999998
2021-07-14 07:00:00,32803.01,33176.47,31556.02,32708.66,521140.41,262021.05,259119.36
2021-07-15 07:00:00,31866.43,33170.0,31140.0,32803.0,539111.667,263010.043,276101.624
2021-07-16 07:00:00,31382.95,32245.0,31018.59,31865.53,516577.743,262402.614,254175.12900000002
2021-07-17 07:00:00,31496.65,31945.0,31150.02,31382.96,422650.418,215057.568,207592.85
2021-07-18 07:00:00,31767.0,32435.93,31075.1,31496.65,412189.401,206750.025,205439.37600000002
2021-07-19 07:00:00,30823.62,31890.0,30358.77,31765.23,486305.627,239872.092,246433.53499999997
2021-07-20 07:00:00,29775.9,31050.0,29242.24,30823.62,602688.19,300341.487,302346.7029999999
2021-07-21 07:00:00,32120.0,32883.9,29472.41,29775.89,787077.39,408430.273,378647.117
2021-07-22 07:00:00,32268.11,32583.48,31700.0,32120.0,397258.936,200967.505,196291.43099999998
2021-07-23 07:00:00,33634.46,33650.0,31970.82,32268.12,404650.016,209327.397,195322.619
2021-07-24 07:00:00,34230.0,34471.0,33379.81,33631.74,376046.028,190979.219,185066.80899999998
2021-07-25 07:00:00,35370.66,35400.0,33812.0,34230.0,404114.844,207376.594,196738.24999999997
2021-07-26 07:00:00,37218.09,48168.6,35185.49,35370.67,1162332.857,586176.914,576155.9430000001
