datetime,close,high,low,open,volume,volume_buy,volume_sell
2023-06-12 07:00:00,1741.61,1759.32,1717.5,1751.8,2615423.791,1285318.796,1330104.995
2023-06-13 07:00:00,1739.24,1766.53,1722.53,1741.6,2978916.867,1496623.638,1482293.229
2023-06-14 07:00:00,1650.18,1749.65,1625.5,1739.24,3962845.762,1877819.531,2085026.2310000001
2023-06-15 07:00:00,1665.64,1680.0,1625.56,1650.19,3284979.384,1634652.419,1650326.965
2023-06-16 07:00:00,1717.31,1730.0,1644.65,1665.64,3099475.105,1597160.64,1502314.465
2023-06-17 07:00:00,1727.2,1775.0,1713.38,1717.31,2161730.858,1081036.901,1080693.957
2023-06-18 07:00:00,1719.99,1747.5,1710.77,1727.19,1638597.358,804245.787,834351.571
2023-06-19 07:00:00,1736.21,1753.0,1689.29,1719.99,2591602.407,1297281.428,1294320.979
2023-06-20 07:00:00,1791.37,1796.84,1713.57,1736.2,3466422.973,1778252.848,1688170.1250000002
2023-06-21 07:00:00,1888.31,1901.6,1786.56,1791.37,5330798.831,2676902.493,2653896.3380000005
2023-06-22 07:00:00,1871.36,1933.7,1862.0,1888.3,3137860.418,1562217.337,1575643.081
2023-06-23 07:00:00,1892.2,1938.48,1859.96,1871.37,3405962.433,1694368.58,1711593.8530000001
2023-06-24 07:00:00,1874.48,1905.6,1863.0,1892.2,1763224.894,859977.779,903247.1150000001
2023-06-25 07:00:00,1898.27,1929.96,1867.84,1874.47,2781158.136,1388813.932,1392344.204
2023-06-26 07:00:00,1858.14,1909.32,1836.0,1898.26,3400509.135,1629906.774,1770602.3609999998
2023-06-27 07:00:00,1889.05,1912.65,1854.14,1858.14,2829280.124,1443244.701,1386035.423
2023-06-28 07:00:00,1827.26,1889.65,1811.89,1889.05,3088158.07,1448220.376,1639937.694
2023-06-29 07:00:00,1851.19,1879.98,1827.02,1827.26,2244626.491,1138449.423,1106177.068
2023-06-30 07:00:00,1933.41,1947.31,1820.0,1851.18,5961506.278,3009003.519,2952502.759
2023-07-01 07:00:00,1924.08,1944.69,1908.55,1933.42,1584006.709,796168.922,787837.787
2023-07-02 07:00:00,1937.69,1964.0,1883.55,1924.08,2602287.765,1291071.172,1311216.593
2023-07-03 07:00:00,1955.0,1978.0,1933.04,1937.69,2783862.146,1405631.215,1378230.931
2023-07-04 07:00:00,1935.72,1967.91,1930.37,1955.0,1913551.422,939300.533,974250.889
2023-07-05 07:00:00,1909.88,1942.22,1892.9,1935.72,2290593.319,1116275.998,1174317.3210000002
2023-07-06 07:00:00,1844.82,1957.94,1844.47,1909.88,4219617.366,2057982.477,2161634.8890000004
2023-07-07 07:00:00,1870.0,1877.51,1823.74,1844.81,2150375.881,1042857.5,1107518.381
2023-07-08 07:00:00,1864.45,1873.1,1841.28,1870.0,1144653.748,554985.308,589668.44
2023-07-09 07:00:00,1861.81,1878.98,1855.2,1864.45,1315813.529,649584.518,666229.011
2023-07-10 07:00:00,1879.34,1904.96,1845.09,1861.81,2457486.761,1257725.227,1199761.534
2023-07-11 07:00:00,1877.66,1892.32,1861.1,1879.35,1690867.909,827010.251,863857.6579999999
2023-07-12 07:00:00,1870.81,1901.86,1863.15,1877.66,2514859.274,1254990.16,1259869.1140000003
2023-07-13 07:00:00,2004.78,2014.8,1861.59,1870.82,5072952.783,2644445.768,2428507.0149999997
2023-07-14 07:00:00,1936.74,2031.28,1896.8,2004.77,4202754.58,2059111.021,2143643.5590000004
2023-07-15 07:00:00,1930.4,1945.89,1925.54,1936.74,1111948.993,545402.38,566546.613
2023-07-16 07:00:00,1920.97,1942.78,1912.09,1930.4,1270216.239,627896.64,642319.599
2023-07-17 07:00:00,1910.37,1935.45,1872.0,1920.97,2551243.537,1254136.356,1297107.181
2023-07-18 07:00:00,1896.46,1916.62,1875.0,1910.37,1989216.045,969002.119,1020213.926
2023-07-19 07:00:00,1887.55,1925.0,1881.0,1896.47,2046151.353,1012288.97,1033862.3829999999
2023-07-20 07:00:00,1890.56,1928.81,1875.6,1887.55,2682007.64,1327609.113,1354398.5270000002
2023-07-21 07:00:00,1890.84,1905.97,1883.42,1890.56,1423334.683,689935.958,733398.725
2023-07-22 07:00:00,1865.6,1896.85,1835.39,1890.84,1146954.994,532186.047,614768.9469999999
2023-07-23 07:00:00,1887.86,1904.57,1856.68,1865.6,1545904.444,793198.55,752705.8939999999
2023-07-24 07:00:00,1849.04,1890.2,1829.0,1887.85,2113287.416,996408.233,1116879.1830000002
2023-07-25 07:00:00,1856.91,1868.54,1844.5,1849.04,1320722.986,662243.95,658479.0360000001
2023-07-26 07:00:00,1870.98,1887.79,1846.9,1856.91,1946701.756,1005260.859,941440.897
